CodEscola,Nome,Nº Funcionarios,Nº Salas,Qtd Aluno/Computador,Qtd Computadores,Situação,Tem Biblioteca,Tem Internet,Tem Lab Ciências,Tem Lab Informática,Tem Quadra Cob,Tem Quadra Desc,Tipo,Zona da Escola
26216000,ESCOLA LIMA OLIVEIRA,0,8,2,3,Em Atividade,S,S,N,N,S,N,Privada,URBANA
26216205,ESCOLA LUZIA NEVES,9,6,0,1,Em Atividade,N,S,N,N,N,N,Privada,URBANA
26216400,EDUCANDARIO ELIVANIA LTDA,12,6,1,4,Em Atividade,S,S,N,S,N,N,Privada,URBANA
26216418,ESCOLA VIRGEM IMACULADA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26216604,EDUCANDARIO JEAN PIAGET,7,3,0,1,Em Atividade,S,N,N,N,N,N,Privada,URBANA
26223619,EDUCANDARIO NANCY LOPES,10,7,0,0,Em Atividade,S,N,N,N,N,N,Privada,URBANA
26249600,COMPLEXO EDUCACIONAL SANTA EMILIA,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26251604,CENTRO EDUCACIONAL JESUS DE NAZARE,5,12,3,3,Em Atividade,S,N,N,N,N,S,Privada,URBANA
26209608,EDUCANDARIO LARISSA ANDRADE,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26210401,INSTITUTO BRASIL,14,8,6,7,Em Atividade,S,S,N,S,S,N,Privada,URBANA
26212005,INSTITUTO CHAPEUZINHO VERMELHO,13,9,0,2,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26290600,INSTITUTO EDUCACIONAL PINGO DE GENTE,11,5,2,4,Em Atividade,S,S,N,S,S,N,Privada,URBANA
26177803,COLEGIO GREGORIO MAGNO,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26224615,CENTRO MUSICAL DE OLINDA,60,15,0,3,Em Atividade,S,S,N,N,N,N,Pública,URBANA
